feature,value
stems,10
branches,400
overall_width,844.67
overall_height,2989
overall_depth,1633.3
overall_volume,4.12362e+09
total_length,35888.3
br_length_mean,89.7207
br_length_std,173.478
br_length_min,0.251768
br_length_max,2987.03
br_order_mean,10.33
br_order_std,4.60806
br_order_min,1
br_order_max,21
br_tortuosity_mean,0.115913
br_tortuosity_std,0.0838311
br_tortuosity_min,0
br_tortuosity_max,0.638772
bif_EucDist2soma_mean,1911.45
bif_EucDist2soma_std,1072.62
bif_EucDist2soma_min,0
bif_EucDist2soma_max,2740.79
bif_PathDist2soma_mean,3940.99
bif_PathDist2soma_std,2211.93
bif_PathDist2soma_min,9.61544
bif_PathDist2soma_max,5762.79
asymmetry_mean,0.697436
asymmetry_std,0.460551
asymmetry_min,0
asymmetry_max,1
ampl_local_mean,71.8016
ampl_local_std,28.5993
ampl_local_min,1.67142
ampl_local_max,147.337
ampl_remote_mean,60.9871
ampl_remote_std,29.1773
ampl_remote_min,6.29111
ampl_remote_max,142.001
tilt_local_mean,117.853
tilt_local_std,25.003
tilt_local_min,27.1098
tilt_local_max,165.754
tilt_remote_mean,123.226
tilt_remote_std,23.3995
tilt_remote_min,46.2559
tilt_remote_max,169.53
