cstype,Bouton Number,TEB Ratio,Bouton Density,Geodesic Distance,Bouton Interval,Project Regions
MOp-2/3,1.0137899284716936,0.08664398026055836,0.8270534453768122,0.3005394766572665,0.6763538257833998,0.5965602070477694
MOs-2/3,0.8635393340280786,0.05787576757031397,0.4377906706548312,0.3468915755363241,0.36797515451029933,0.41483089266026474
SSp-bfd-2/3,0.7331054981945404,0.15295272040102376,1.138646086203439,0.37261727910621195,1.463663385927472,0.24904353463935347
SSs-2/3,0.8348113854489577,0.12283695239722955,0.7761215028005188,0.3399983735465865,0.4057476744321583,0.6430752841716221
VISp-2/3,0.5250615158955928,0.40389546294696926,0.6023199085478447,0.38613454519674517,0.31116359041022,0.7770917437979012
VISrl-2/3,0.5552446117257779,0.22730769354798488,0.6659110602525478,0.2787932734985686,0.6193327366885288,1.1059661632712894
SSp-bfd-4,0.5046242156699283,0.10664797684233979,0.5696449019841262,0.09499211590037179,0.3742364527426569,0.2543516516015351
SSp-m-4,0.4863156119121028,0.19088137848730613,1.1155998781930532,0.2682344197799927,0.9968501487476477,0.24479189312412347
SSp-n-4,0.35918209708868093,0.12743366616106644,0.7918403904820326,0.11988269698840495,0.5735563459390384,0.12296367520429875
SSs-4,0.1916256498773622,0.14361980867631732,0.6430684637623323,0.6168295899489297,0.7093054372295002,0.543352842874444
VISp-4,0.4558566187516354,0.26741437959371434,0.6233042429478874,0.15099293602812364,0.19633168519746497,0.7332630770343689
MOp-5,0.9497621805650267,0.2755880910727112,1.024833026780396,1.142106479790803,1.4295385017201059,1.2413275958098657
MOs-5,1.382617924661012,0.1868515793113678,0.9164309218613644,1.1195375368577574,1.405239845487693,1.6529839563566302
RSPv-5,0.8561343741076505,0.2500184977094821,0.8665425902185053,0.8015037802993374,0.355014699578407,1.1564808660810886
SSp-bfd-5,0.7926124915440365,0.39483640795346975,0.8639340484220493,0.6610610335767069,1.3621994441408478,0.9693397235739027
SSp-ll-5,0.48744122511106,0.24940159414938312,1.0526079055775728,1.1043734874915794,0.9468396692146033,1.117223106401998
SSp-m-5,0.6307117569806566,0.4551312955336218,0.5867526780948383,0.7080674706502541,0.7945954760925806,0.8358438882540608
SSp-n-5,0.695811503466306,0.38703910299143973,0.49985662651091767,0.4113673856850954,1.0385246040637042,0.9032567178717898
SSp-ul-5,0.729058165237746,0.607099027795329,0.6294833253697749,0.6247175953125226,0.5600003758064857,0.8435719569584946
SSp-un-5,0.5488064019074387,0.3329087622885251,0.5434442989593631,0.28172476743252667,0.8184763312207934,0.8572810309462331
SSs-5,0.9651582721995066,0.2565303808328855,0.7675635667728254,0.8532762214863486,1.2698058449760403,0.8250449584204014
VISp-5,0.16581882900894104,0.3368322334598623,1.6622809565118741,0.890435197925784,0.8001412994727762,1.1357367629756414
AId-6,2.1730461282478046,0.0363407347900378,0.8996279548251558,0.44016613026361423,2.151884126729104,1.08263520454005
SSs-6,2.028907798171716,0.19647673005965702,1.4447120518180452,0.4168399409634757,1.7067712267865787,1.104959391143445
