cstype,Stems_mean,Bifurcations_mean,Branches_mean,Tips_mean,OverallWidth_mean,OverallHeight_mean,OverallDepth_mean,Length_mean,Volume_mean,MaxEuclideanDistance_mean,MaxPathDistance_mean,MaxBranchOrder_mean,AverageContraction_mean,AverageFragmentation_mean,AverageParent-daughterRatio_mean,AverageBifurcationAngleLocal_mean,AverageBifurcationAngleRemote_mean,HausdorffDimension_mean
MOp-2/3,0.9551750154281663,0.9541903397013641,0.9473414133744673,0.9436640912218163,1.0477301040615716,1.123700838043078,0.972868007846156,1.077006879624338,1.0215688563331216,1.0034097092667866,0.935497193484808,0.9945869112785463,0.9485407242214113,0.8768713816823751,0.958038364824894,0.9147949324646653,0.9380538222494127,0.9256719453158834
MOs-2/3,0.9038804302540455,1.285869679508744,1.2786151305213675,1.2741363835716517,1.0704568454288625,1.0210412423983488,0.9928798994714877,1.17425273047928,1.2316757925437003,1.0921847733428178,0.9909777648501923,1.0672013284082116,1.0872842518480659,0.8937281166491853,1.1236244302529428,1.0570044871795075,1.036861398256812,1.1193414093211957
SSp-bfd-2/3,0.8728194321164296,0.8660429309607239,0.8681726473998558,0.8713336208401171,0.7435568192571566,1.1098132397514564,0.8114397947646065,0.9493952307036493,0.8837170042450526,0.8675644408083887,0.9101153828263776,0.9791412621647665,0.728234617637289,0.46598723081878096,0.7063630003080773,0.687681300980305,0.7165625368316809,0.7311638314266427
SSs-2/3,0.887596368826293,0.9826148847530355,0.9885527658513518,0.9936696244165301,0.5796705072621534,0.604569095766193,0.8387174584689148,0.9145184993887225,0.9901716546996946,0.5351176219195353,0.5959854900905504,0.7752653274810803,0.6433602496379537,0.4299618484640978,0.5857372661733206,0.6124297099232207,0.574997522983956,0.7051626591977282
VISp-2/3,0.9924494554058803,0.8919025854618811,0.8949858863084337,0.8999885585651408,0.7376586627788275,0.761530311134767,0.6992884212070337,0.7643838208333505,0.7476221671260159,0.7473763601349747,0.75863445741007,0.9012178388907592,0.8565118224158923,0.6658060030220029,0.8514910443194134,0.8575904808116918,0.8415793637309743,0.9066381703414745
VISrl-2/3,1.1458543127072955,1.097600790439848,1.1040106479422558,1.1110987039045854,1.043304986781371,0.9348032544422915,0.9198567294303043,0.9074141081276611,1.2728739141933119,0.9837249915409841,0.8814895834971027,0.8893968361411995,1.0559580294630266,0.6361520889387058,0.9815325301777634,0.9956635253846621,0.9083780070243941,1.0170992943568593
SSp-bfd-4,0.52282845642879,0.6178981829447355,0.609878736622854,0.6011537701959795,0.37367306763891056,0.5266706377248361,0.5320074605399105,0.6167566902345396,0.4959065265322195,0.4344131929827044,0.4756919076446974,0.7927693757237146,0.42291101141068094,0.3403838931407454,0.4242160158598426,0.5180643725220505,0.5041091894686553,0.46234440242352737
SSp-m-4,0.7893266471500455,1.04307351003524,1.0378475222178374,1.032939948027232,0.8865961040700666,0.8245043695713187,0.9471351388448062,1.034171177640552,0.8718985019646692,0.8439965933335037,0.9696655784289947,0.832754542842772,0.8550502671653545,0.7771187616168383,0.8826357271367693,0.9191986243025527,0.9277635707877305,0.907931439271788
SSp-n-4,0.8545793410508425,0.761064029548361,0.7613827236022659,0.7659789951486979,0.8536071768746345,1.0967890260742936,1.1119761110967472,0.9424661173945046,1.0745099569081886,0.8984308392089059,1.0570052190645072,0.6566892019055998,0.887867065960137,0.7447790565528125,0.8741410938847968,0.8629512276549771,0.9127106420538431,0.9034135194095128
SSs-4,0.49800165374749544,0.40614052866884615,0.4058236450069252,0.4068351937481281,0.6224609386689944,0.5648267701394118,0.6635963273164369,0.64934418294372,0.38997936175645437,0.5927814551114877,0.4969874656032561,0.4185771917634554,0.45449025933653064,0.3413903580586706,0.46286893057232226,0.5010475220135256,0.4630850403477277,0.484610087373061
VISp-4,0.8517104008855566,0.9376158846848741,0.939107676884243,0.9417660095130704,0.7375311094736862,0.8768346900658073,0.7930128597090216,0.9425742850034902,0.911076271165416,0.7732259550987706,0.8827341787733728,0.8598597157350083,0.7828751925336134,0.5873511327883406,0.7870151016337072,0.7461259249418427,0.733746850304848,0.8085874452278168
MOp-5,0.7405670248591525,1.0464194508361018,1.0334865038563246,1.022505672943337,0.8478551326907404,0.9098674746674005,0.944328937736126,1.1699177327471206,1.1770258626497083,0.8852711967878342,0.8281036590740428,1.1726223539130312,0.8118926196932225,0.7109266603841219,0.8151352277921711,0.870874675336902,0.8212715097280167,0.8223411213376679
MOs-5,1.1898833346947093,1.2038533009598635,1.2027651862767252,1.2041323912359003,1.1094202502216066,1.0387661966431543,0.9975028664620854,1.276211562914861,1.2336553889914494,1.1007768520006298,0.9846470615643331,1.186634739763309,1.054001726610909,0.8274723544146722,1.0434048158948361,0.9617115266770564,0.9494921094482273,1.0395465673848452
RSPv-5,1.0498667067915164,1.1640618761089971,1.1624496700887088,1.1609892019388117,0.9334136737807499,0.7487404214223301,0.7209649925834127,1.0665392701167795,1.344943785050927,0.8507268004252903,0.8912597844776329,1.140934678414872,0.8479833833812809,0.6249282301813985,0.8438097080649455,0.8441307335100414,0.8214729820817052,0.9100221367555588
SSp-bfd-5,0.6358626893936339,0.6762208187490565,0.6702452758802042,0.6673472269819157,0.6035388442148599,0.7472884787187324,0.6863608363974383,0.6764803311493687,0.7765609463414668,0.6743817423311437,0.7321049922420042,0.7952198690157892,0.6721923499856987,0.47741013675320043,0.6604385698383739,0.6143754166872223,0.6226201099266542,0.7088492677858257
SSp-ll-5,0.6531637451191367,1.0621594192472985,1.0537104774540023,1.0488845472895387,1.0686971063637918,1.050826482827973,0.8094695944084002,1.0343451910239903,1.115345482345876,1.1434840939441395,1.0297529269244494,1.9005969182755882,0.9468731755538516,0.6583225239824096,0.9049175812384527,0.8612053134871877,0.7672178839988799,1.0482576422827745
SSp-m-5,0.7743614309121658,0.8910697692687393,0.8933588138414285,0.8964468622751561,0.7344382127071472,0.928711606203919,0.9961663061403465,0.9969978558243611,0.7445998761529716,0.9057094214350324,0.9628509477206166,0.9388692061700179,0.7945004916005658,0.5860966833848922,0.8233690213870508,0.8340493251376051,0.7740897996627367,0.7880689747513601
SSp-n-5,0.967988367966142,0.7562618476958062,0.7581814073838123,0.7614437317141186,0.7508240005687657,0.8266659727147412,0.9680823369677157,0.708352731442435,0.950751024569922,0.7929156988542925,0.8796618188492996,0.7604799408103332,0.8424767687577214,0.7885745675993131,0.804445059851761,0.8291321177442472,0.8331489299480022,0.8534852880699154
SSp-ul-5,0.8977768904537282,0.8192584339569545,0.8198150464959278,0.8232552099266432,0.7234792180382386,0.9889219749862241,0.7577832711410819,0.7227545651480969,0.8095336838556083,0.8751695599876763,0.8334483078251257,0.8672324675865724,1.0190941012918662,0.7800989961386466,1.0371718863338844,1.0496846822095522,1.0131383829107519,1.042099846433255
SSp-un-5,1.0016781541472832,0.990038780468954,0.9934297570039202,0.997023100544751,0.8464094896484654,0.8469868811874484,0.8585213643387668,0.8894324591049254,1.5883224760525843,0.850033730306785,1.056992406896945,1.0209413573302788,0.8730254426867639,0.742403523740367,0.8554360262510555,0.7958292592384558,0.8412257962844759,0.8568712378122041
SSs-5,0.8107014268342643,0.6994237662270303,0.6988082444816736,0.7001641151871751,0.6174343219275991,0.6153168824510599,0.8654200883824302,0.7483780098266332,0.8919926286831434,0.6042124290022068,0.5912423892246569,0.7163136372099029,0.6633780215026082,0.5079962696706091,0.6130286958610675,0.6590366329237811,0.6431563309115492,0.6806232509785499
VISp-5,0.8138832595433195,1.1206851090652754,1.122832639544177,1.1252348298499764,0.6239571051853081,0.8418214513385274,0.7632645474851949,1.0019452978749486,1.1475105783910582,0.7649028180553794,0.745648115358699,0.9462418101919446,0.7774245674592577,0.5816317257189577,0.7335517004436367,0.7534866022009298,0.7450951857768985,0.8424215428802582
AId-6,0.733504806832943,0.6371918855995472,0.6372788068013099,0.6420567312775941,0.7341799946551145,0.7632167940320994,0.8233628680695522,0.656718531242113,0.5775717784238491,0.7867107995647591,0.6839999213061416,0.7428862281918488,0.8414474362675631,0.8492930441016905,0.8278977728565529,0.8099641427694482,0.7939260142918094,0.8071541924206738
SSs-6,0.7863309572860334,0.6634608663169032,0.6640834681565629,0.6671727076563997,0.6025150961292888,0.6260471688257975,0.7929357650115023,0.6577704795929815,0.7948214339475159,0.6376478232458197,0.6801710439402865,0.6866551737900994,0.705678009543156,0.6225474107326562,0.6815129978411051,0.6828908669334233,0.6818784762775637,0.7453031855688298
