ptype,Bouton Number,TEB Ratio,Bouton Density,Geodesic Distance,Bouton Interval,Project Regions
MOp-ET,0.9537793365862461,0.2728535168536703,0.5953475246269423,0.8833377321557698,0.853748378070642,0.9992797592928357
MOs-ET,1.3388694840867748,0.18466522706199623,0.7564131131932055,1.0221434788874157,1.1517668910816659,1.4594374772964138
RSPv-ET,0.6985517293992771,0.13096456110368865,0.34380032170529384,0.32095477002319495,0.19309159124481817,0.6121521230421506
SSp-bfd-ET,0.8456815393303392,0.41452771189981075,0.34555423882576103,0.4303015542068379,0.36783803105174717,0.9119108052998619
SSp-ll-ET,0.6759085457145785,0.18824325584466978,0.4619315730342392,0.6652283338413831,0.5815543655197573,0.8507033764205628
SSp-m-ET,0.6639484251475605,0.4678739801054944,0.4029244097329988,0.6808676659060111,0.4801548974509385,0.8220903694434194
SSp-n-ET,0.7359307705683097,0.39981079451694196,0.33965714600509117,0.429801726219517,0.35422635541818487,0.9270908865250269
SSp-ul-ET,0.7575257271387045,0.622217598512085,0.44751150276730683,0.5018637175295022,0.5096673279110293,0.844919498140089
SSp-un-ET,0.5608255595415399,0.32947571677975335,0.42933763746343534,0.29433905817257305,0.5431642720506006,0.6498608071122273
SSs-ET,0.8372812236844123,0.2699737593420754,0.3883313729888372,0.44724958100838075,0.3923490495594033,0.8546669376100269
MOp-IT,1.0414298556690458,0.09008146082763775,0.9754166467873578,0.33800424513701366,1.398976786239326,0.5608632156870599
MOs-IT,1.034977750495805,0.0903619809125886,0.8493193386233849,0.32558888721021595,1.3054441543926982,0.48998058743040335
SSp-bfd-IT,0.6091438452035471,0.13957508643876718,1.1331998064687407,0.6330284696063319,1.8745386572138776,0.7632504742190923
SSp-m-IT,0.47019874151523067,0.17182488106700902,1.2480341767498688,0.4575102966553189,1.3805808277529947,0.7001109513039294
SSp-n-IT,0.6748194404995359,0.1191375373475127,1.2402579440363588,0.5699759079380439,1.5950375327514594,0.7835070808451895
SSp-ul-IT,0.4292710942261396,0.14886814356511444,0.587233877052118,0.3501487147124776,0.5166177824002365,0.5363682502908681
SSs-IT,1.0536680283789222,0.09907777390157099,0.8881831219220198,1.0017958673829042,1.3496313501845054,0.846185963157952
VISp-IT,0.3901984495536251,0.33964225111058294,0.6159324635838946,0.37642314671075605,0.3510169031969153,0.8322205743654758
VISrl-IT,0.5398307339121429,0.2010039608074886,0.7964732988347722,0.278259408976337,0.7391714472798826,0.995582040257483
LGd-core,0.6320296015715825,0.1517519057803511,0.8442129668435494,0.4859542778173732,0.6250199168560742,0.3064450699502452
MG-core,0.5246898108283287,0.12829467034522216,0.5683338857174758,0.48677890841924776,0.34504266495822805,0.48205867079387194
SMT-core,0.7626596080809386,0.13179025554631818,0.9894806702846595,0.3224868538736227,0.6912624294935337,0.3280780603975059
VPL-core,0.5759857829895547,0.18888470960094866,0.6034375019527224,0.3923507410762838,0.2891847190021687,0.35050275530603175
VPM-core,0.49525436306991444,0.22410236360618838,0.7038793867019018,0.32892792935844173,0.31733534030662136,0.25914194625394876
LD-matrix,1.5251591429027531,0.26380732088429193,1.0618569316592439,1.3012978238132187,2.2308683904104236,0.8011603769099214
LP-matrix,0.9033556752823281,0.1426642235462274,0.6841991050115511,0.6518742936400711,0.36963146103604805,0.47813128281254963
VM-matrix,1.1136372109980333,0.1489920038803355,0.2440556059225421,1.2313571038635192,0.13635936766532913,0.6284241501108341
RT,0.4119611709586847,0.4684540590293997,0.7171802703261406,0.2800066863998072,0.2550626287612034,0.23838144113237872
CP-GPe,0.518255958233154,1.482141005675984,0.8920809595248624,0.2202033341810034,0.3778893707301576,0.21958506384020177
CP-SNr,0.3139991558827157,1.5746029930425325,0.7137625821205135,0.3951926976598509,0.7050235865726998,0.27120823079584705
ACB,0.1554202717498744,1.791476625679784,0.61870034553717,0.3168301574480186,0.5052276313291333,0.2697706006007717
OT,0.21005989436551933,0.9029864181340537,0.5080026377599117,0.16682343410601716,0.15216482575479132,0.16176941613209278
