Manually_corrected_soma_region,Bouton Number,TEB Ratio,Bouton Density,Geodesic Distance,Bouton Interval,Project Regions
AId,2.0059045725383267,0.17755999197935204,0.8315410996847782,0.42759511026573865,2.0064624399978377,1.3011678101101862
CLA,1.7407065726619746,0.17775429942099913,0.8050444264908877,0.6523188663544462,1.5240334854403699,1.2819201141602619
MOp,1.208137694590754,0.22785999118248998,0.9672401840106252,0.9903530358703119,1.4710826214162944,1.084358664156634
MOs,1.2420593080647717,0.1591110159027964,0.8871076725528175,0.9804137690912683,1.43195257089008,1.4050576678927247
RSPv,0.9464010618225736,0.26548651737852275,0.9181738739349246,0.8853376504460961,0.46563696418081874,1.263796284386473
SSp-bfd,0.9567578878267952,0.34284835897334365,0.9307380955751495,0.8219363634535332,1.2532812527199964,0.9952348975651325
SSp-ll,0.5378948315861114,0.21806380777374465,0.9553930955505506,0.9797923733605677,0.8416899802053689,1.0801413363935832
SSp-m,0.7952673771330294,0.4213066216232938,0.8100006014214937,0.7867041776994759,0.8339850922949223,0.8195812577616857
SSp-n,0.6997979830591645,0.32414156965138563,0.8538959981155937,0.695847397004091,0.9786841552199493,0.8937093784566351
SSp-ul,0.6895207972342057,0.5741232882879582,0.6143279109632697,0.7277787613082711,0.523048189758058,0.7889095139487615
SSp-un,0.557958619763525,0.31515352735777347,0.6102607390941981,0.47988151492963915,0.8193951948850045,0.853459868500569
SSs,1.30637191528371,0.21980331955197693,0.9634215560294084,0.7756023020892542,1.2319848050249353,0.8998242282456708
VISp,0.46555568952295145,0.34126409775425126,1.0118610893507056,0.4768566867650619,0.6385184259309764,0.8012742371030759
VISrl,0.45992979483628066,0.22993519783800714,0.818678370441938,0.711390417900261,0.9441149771454059,0.8585218347537115
LGd,0.6320296015715825,0.1517519057803511,0.8442129668435494,0.4859542778173732,0.6250199168560742,0.3064450699502452
MG,0.5626643364415006,0.42073213464792797,0.6478720141429795,0.5500233327374489,0.5337446456714123,0.49497084147708076
SMT,0.7626596080809386,0.13179025554631818,0.9894806702846595,0.3224868538736227,0.6912624294935337,0.3280780603975059
VPL,0.5759857829895547,0.18888470960094866,0.6034375019527224,0.3923507410762838,0.2891847190021687,0.35050275530603175
VPM,0.49525436306991444,0.22410236360618838,0.7038793867019018,0.32892792935844173,0.31733534030662136,0.25914194625394876
LD,1.4200667144384125,0.31174597456643816,0.9370403627840729,1.1109935957914046,1.8785711681906074,0.7916717066019893
LP,0.9033556752823281,0.1426642235462274,0.6841991050115511,0.6518742936400711,0.36963146103604805,0.47813128281254963
VM,1.1136372109980333,0.1489920038803355,0.2440556059225421,1.2313571038635192,0.13635936766532913,0.6284241501108341
RT,0.4119611709586847,0.4684540590293997,0.7171802703261406,0.2800066863998072,0.2550626287612034,0.23838144113237872
ACB,0.1554202717498744,1.791476625679784,0.61870034553717,0.3168301574480186,0.5052276313291333,0.2697706006007717
CP,0.48191872217819914,1.5670401734189354,0.9771043799753284,0.5163511015185015,0.6023126149579706,0.2672293339017732
OT,0.21005989436551933,0.9029864181340537,0.5080026377599117,0.16682343410601716,0.15216482575479132,0.16176941613209278
