Manually_corrected_soma_region,PathLength,EucLength,OrientX,OrientY,OrientZ,Volume
AId,0.7226820691356082,0.8189884289680958,0.808348588254833,0.6738373215628025,0.7920419298568644,0.9570545703237346
CLA,0.8374374798820688,0.8092041049101113,0.8204689762973341,0.6487289289040749,0.7273757631675069,1.6722782734466812
MOp,1.4053182090777259,1.4664652267688372,0.9131389544111741,0.5748822367320295,0.958583207010079,2.1463365167642623
MOs,1.2703582789465657,1.4850818372084804,0.6804527963672247,0.6021801744026503,0.9040242600574316,1.5035211147605327
RSPv,1.157146221734905,0.8822763070477159,0.8550384625659515,0.5459035055536487,0.6462610007027499,0.6401019009967438
SSp-bfd,1.1311218301715258,1.3917817883500951,0.6797239701610742,0.8171551471447409,0.9046851172442519,0.7081592261467923
SSp-ll,1.4683921187943403,1.6810598427231929,0.7536751932476309,1.1183725833637166,0.8105759760105857,1.6979082389451234
SSp-m,1.0150166059179548,1.2736808041903642,0.8312546728282807,0.598787620901006,0.5686705512611518,1.161456387686047
SSp-n,1.0499922791223575,1.3454981256400174,0.5974705302374544,0.6629024047828791,1.003102711717224,0.6107712117291838
SSp-ul,0.8845681150496405,0.9218209949164182,0.5660007093174467,0.5962917088479666,0.5841302667741305,0.8053297739084422
SSp-un,1.0449968682666424,0.6174026607644271,0.5954532211506831,0.4750723601012076,0.40577490559285795,1.9249743798708205
SSs,1.0817247067421953,1.3031355912108653,0.824276026433769,0.8010425227987378,0.5794619801943316,1.3775885886860928
VISp,0.79525048814707,0.9491351953434013,0.8349244629317975,0.9454932664906279,1.0340892427503616,0.409393552907914
VISrl,0.8839095689957194,1.2246976866081645,0.577089400798418,0.6328920844960292,1.131487894084136,0.4010128506682432
LGd,0.5192085526311723,0.280837533486129,0.5345871018495482,0.4793723633581672,0.5727378411426461,0.4314532672774043
MG,0.5344325665367508,0.2577511055987524,0.41239817540071466,0.5781186521431689,0.5270312589148377,0.4656511878986055
SMT,0.6289579690721171,0.36123774116223606,0.05267593868753617,0.1687867169621157,0.1934407595960648,0.2329806309142524
VPL,0.4992543368801935,0.22989644666636277,0.41022352946558505,0.23015811548519363,0.39412146491945205,0.2638579065128443
VPM,0.32224236566422076,0.25242012748960313,0.47011516835698447,0.4367140695297408,0.36660364947893154,0.12950957530372004
LD,0.6282080796213398,0.14837569418856206,1.1226692619877183,0.38105749407459866,0.665178641205224,0.7571152605315177
LP,0.8404802117047878,0.25267265056106514,0.8482223464546285,0.7903792952204287,0.9739435172574018,0.57613394178779
VM,1.1050924890303202,0.31193140318234325,0.26701850693259105,0.35498220008898035,0.37254630951954276,0.8045550924081043
RT,0.3685383773018462,0.36025158998373175,0.45103220171050107,0.6864755961995826,0.5401720926780554,0.03922302552322046
ACB,0.7184329153600403,0.8117654623247587,0.19982251949181476,0.5645554626410368,0.20355865456446479,0.2046912460482426
CP,0.5057379432209254,0.5967295342364801,0.6076224385215555,0.5571305690534194,0.5937910875475207,0.08780894602355471
OT,0.22552905590453626,0.15652790184627707,0.3980405172694883,0.5342825514117522,0.8326307883324697,0.011544315044776298
